id,strategy_name,trade_duration,market_name,symbol,market_category,signal_direction,signal_opening_price,signal_high_price,signal_low_price,signal_closing_price,signal_sma_num,signal_average_price,signal_date,signal_date_day,signal_date_num_day,signal_date_month,signal_date_num_month,signal_date_year,opening_price,starting_date,opening_date_day,opening_date_num_day,opening_date_month,opening_date_num_month,opening_date_year,ending_date,closing_price,closing_hit_after_days,closing_date_day,closing_date_num_day,closing_date_month,closing_date_num_month,closing_date_year,min_lows,min_date,min_hit_after_days,min_date_day,min_date_num_day,min_date_month,min_date_num_month,min_date_year,min_diff_to_open,max_highs,max_date,max_hit_after_days,max_date_day,max_date_num_day,max_date_month,max_date_num_month,max_date_year,max_diff_to_open,min_max_diff,profit,singal_price_diff_to_sma,signal_position_to_sma,gap_size_ontrade_date,gap_position,cumulative_return,sl_is_sl_hit,sl_date,sl_date_day,sl_date_num_day,sl_date_month,sl_date_num_month,sl_date_year,sl_hit_after,sl_closing,sl_loss,sl_count,tp_is_hit,tp_date,tp_date_day,tp_date_num_day,tp_date_month,tp_date_num_month,tp_date_year,tp_hit_after,tp_closing,tp_gain,tp_count
730,monday,8,stock,spy,sp_100_daily,Bear,377.85,380.58,377.7189,378.69,348.2946,379.14945,2021-01-11,Monday,1,January,0,2021,377.85,2021-01-11,Monday,1,January,0,2021,2021-01-22,382.88,8,Friday,5,January,0,2021,373.7,2021-01-15,4,Friday,5,January,0,2021,4.15,384.95,2021-01-21,7,Thursday,4,January,0,2021,7.1,-11.25,-5.03,30.85485,1,-0.84,-1,-1.331216091,1,2021-01-11,Thursday,4,January,0,2021,0,378.69,-0.84,8,1,2021-01-15,Thursday,4,January,0,2021,4,375.7,2.15,1
731,monday,8,stock,spy,sp_100_daily,Bear,378.34,379.23,376.75,378.65,351.5529,377.99,2021-01-19,Tuesday,2,January,0,2021,378.34,2021-01-19,Tuesday,2,January,0,2021,2021-01-29,370.07,8,Friday,5,January,0,2021,368.27,2021-01-29,8,Friday,5,January,0,2021,10.07,385.85,2021-01-26,5,Tuesday,2,January,0,2021,7.51,-17.58,8.27,26.4371,1,-0.31,-1,2.185864566,1,2021-01-19,Tuesday,2,January,0,2021,0,378.65,-0.31,6,1,2021-01-27,Tuesday,2,January,0,2021,6,374.41,3.93,3
732,monday,8,stock,spy,sp_100_daily,Bear,383.67,384.77,378.46,384.39,355.4994,381.615,2021-01-25,Monday,1,January,0,2021,383.67,2021-01-25,Monday,1,January,0,2021,2021-02-04,386.19,8,Thursday,4,February,1,2021,368.27,2021-01-29,4,Friday,5,January,0,2021,15.4,386.24,2021-02-04,8,Thursday,4,February,1,2021,2.57,-17.97,-2.52,26.1156,1,-0.72,-1,-0.6568144499,1,2021-01-25,Thursday,4,February,1,2021,0,384.39,-0.72,3,1,2021-01-27,Thursday,4,February,1,2021,2,374.41,9.26,6
733,monday,8,stock,spy,sp_100_daily,Bear,373.72,377.34,370.376,376.23,358.1866,373.858,2021-02-01,Monday,1,February,1,2021,373.72,2021-02-01,Monday,1,February,1,2021,2021-02-11,390.71,8,Thursday,4,February,1,2021,370.376,2021-02-01,0,Monday,1,February,1,2021,3.344,392.28,2021-02-10,7,Wednesday,3,February,1,2021,18.56,-21.904,-16.99,15.6714,1,-2.51,-1,-4.546184309,1,2021-02-01,Wednesday,3,February,1,2021,0,376.23,-2.51,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
734,monday,8,stock,spy,sp_100_daily,Bear,389.27,390.56,388.35,390.51,360.8016,389.455,2021-02-08,Monday,1,February,1,2021,389.27,2021-02-08,Monday,1,February,1,2021,2021-02-19,390.03,8,Friday,5,February,1,2021,387.5,2021-02-10,2,Wednesday,3,February,1,2021,1.77,394.17,2021-02-16,5,Tuesday,2,February,1,2021,4.9,-6.67,-0.76,28.6534,1,-1.24,-1,-0.1952372389,1,2021-02-08,Tuesday,2,February,1,2021,0,390.51,-1.24,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
735,monday,8,stock,spy,sp_100_daily,Bear,393.96,394.17,391.53,392.3,363.8553,392.85,2021-02-16,Tuesday,2,February,1,2021,393.96,2021-02-16,Tuesday,2,February,1,2021,2021-02-26,380.36,8,Friday,5,February,1,2021,378.23,2021-02-26,8,Friday,5,February,1,2021,15.73,394.17,2021-02-16,0,Tuesday,2,February,1,2021,0.21,-15.94,13.6,28.9947,1,1.66,1,3.45212712,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2021-02-16,Tuesday,2,February,1,2021,0,392.3,1.66,9
736,monday,8,stock,spy,sp_100_daily,Bear,387.06,389.62,386.74,387.03,365.8448,388.18,2021-02-22,Monday,1,February,1,2021,387.06,2021-02-22,Monday,1,February,1,2021,2021-03-04,376.7,8,Thursday,4,March,2,2021,371.88,2021-03-04,8,Thursday,4,March,2,2021,15.18,392.23,2021-02-24,2,Wednesday,3,February,1,2021,5.17,-20.35,10.36,22.3352,1,0.03,1,2.676587609,1,2021-02-23,Wednesday,3,February,1,2021,1,387.5,-0.44,3,1,2021-02-22,Wednesday,3,February,1,2021,0,387.03,0.03,6
737,monday,8,stock,spy,sp_100_daily,Bear,385.59,390.92,380.572,389.58,367.5948,385.746,2021-03-01,Monday,1,March,2,2021,385.59,2021-03-01,Monday,1,March,2,2021,2021-03-11,393.53,8,Thursday,4,March,2,2021,371.88,2021-03-04,3,Thursday,4,March,2,2021,13.71,395.65,2021-03-11,8,Thursday,4,March,2,2021,10.06,-23.77,-7.94,18.1512,1,-3.99,-1,-2.059182033,1,2021-03-01,Thursday,4,March,2,2021,0,389.58,-3.99,5,1,2021-03-03,Thursday,4,March,2,2021,2,381.42,4.17,4
738,monday,8,stock,spy,sp_100_daily,Bear,384.66,387.68,381.42,381.72,369.0359,384.55,2021-03-08,Monday,1,March,2,2021,384.66,2021-03-08,Monday,1,March,2,2021,2021-03-18,391.48,8,Thursday,4,March,2,2021,381.42,2021-03-08,0,Monday,1,March,2,2021,3.24,398.12,2021-03-17,7,Wednesday,3,March,2,2021,13.46,-16.7,-6.82,15.5141,1,2.94,1,-1.772994333,1,2021-03-09,Wednesday,3,March,2,2021,1,387.17,-2.51,8,1,2021-03-08,Wednesday,3,March,2,2021,0,381.72,2.94,1
739,monday,8,stock,spy,sp_100_daily,Bear,394.33,396.685,392.03,396.41,371.0549,394.3575,2021-03-15,Monday,1,March,2,2021,394.33,2021-03-15,Monday,1,March,2,2021,2021-03-25,389.7,8,Thursday,4,March,2,2021,383.9,2021-03-25,8,Thursday,4,March,2,2021,10.43,398.12,2021-03-17,2,Wednesday,3,March,2,2021,3.79,-14.22,4.63,23.3026,1,-2.08,-1,1.174143484,1,2021-03-15,Wednesday,3,March,2,2021,0,396.41,-2.08,3,1,2021-03-18,Wednesday,3,March,2,2021,3,391.48,2.85,6
